Conference,Division,Team1,Team2,RecordForTeam1,Percentage
Eastern,Atlantic,Boston Celtics,Toronto Raptors, 3-1, 0.75
Eastern,Atlantic,Boston Celtics,New York Knicks, 4-0, 1.00
Eastern,Atlantic,Boston Celtics,Brooklyn Nets, 4-0, 1.00
Eastern,Atlantic,Boston Celtics,Philadelphia 76ers, 3-1, 0.75
Eastern,Atlantic,Toronto Raptors,Boston Celtics, 1-3, 0.25
Eastern,Atlantic,Toronto Raptors,New York Knicks, 0-4, 0.00
Eastern,Atlantic,Toronto Raptors,Brooklyn Nets, 3-1, 0.75
Eastern,Atlantic,Toronto Raptors,Philadelphia 76ers, 4-0, 1.00
Eastern,Atlantic,New York Knicks,Toronto Raptors, 4-0, 1.00
Eastern,Atlantic,New York Knicks,Boston Celtics, 0-4, 0.00
Eastern,Atlantic,New York Knicks,Brooklyn Nets, 4-0, 1.00
Eastern,Atlantic,New York Knicks,Philadelphia 76ers, 4-0, 1.00
Eastern,Atlantic,Brooklyn Nets,Toronto Raptors, 1-3, 0.25
Eastern,Atlantic,Brooklyn Nets,New York Knicks, 0-4, 0.00
Eastern,Atlantic,Brooklyn Nets,Boston Celtics, 0-4, 0.00
Eastern,Atlantic,Brooklyn Nets,Philadelphia 76ers, 2-2, 0.50
Eastern,Atlantic,Philadelphia 76ers,Toronto Raptors, 0-4, 0.00
Eastern,Atlantic,Philadelphia 76ers,New York Knicks, 0-4, 0.00
Eastern,Atlantic,Philadelphia 76ers,Brooklyn Nets, 2-2, 0.50
Eastern,Atlantic,Philadelphia 76ers,Boston Celtics, 1-3, 0.25
Eastern,Central,Chicago Bulls,Cleveland Cavaliers,0-4, 0.00
Eastern,Central,Chicago Bulls,Detroit Pistons,3-1, 0.75
Eastern,Central,Chicago Bulls,Indiana Pacers,1-3, 0.25
Eastern,Central,Chicago Bulls,Milwaukee Bucks,2-2, 0.50
Eastern,Central,Cleveland Cavaliers,Chicago Bulls,4-0, 1.00
Eastern,Central,Cleveland Cavaliers,Detroit Pistons,3-1, 0.75
Eastern,Central,Cleveland Cavaliers,Indiana Pacers,1-3, 0.25
Eastern,Central,Cleveland Cavaliers,Milwaukee Bucks,4-0, 1.00
Eastern,Central,Detroit Pistons,Chicago Bulls,1-3, 0.25
Eastern,Central,Detroit Pistons,Cleveland Cavaliers,1-3, 0.25
Eastern,Central,Detroit Pistons,Indiana Pacers,1-3, 0.25
Eastern,Central,Detroit Pistons,Milwaukee Bucks,0-4, 0.00
Eastern,Central,Indiana Pacers,Chicago Bulls,3-1, 0.75
Eastern,Central,Indiana Pacers,Cleveland Cavaliers,3-1, 0.75
Eastern,Central,Indiana Pacers,Detroit Pistons,3-1, 0.75
Eastern,Central,Indiana Pacers,Milwaukee Bucks,1-3, 0.25
Eastern,Central,Milwaukee Bucks,Chicago Bulls,2-2, 0.50
Eastern,Central,Milwaukee Bucks,Cleveland Cavaliers,0-4, 0.00
Eastern,Central,Milwaukee Bucks,Detroit Pistons,4-0, 1.00
Eastern,Central,Milwaukee Bucks,Indiana Pacers,3-1, 0.75
Eastern,Southeast,Atlanta Hawks,Charlotte Hornets,4-0, 1.00
Eastern,Southeast,Atlanta Hawks,Miami Heat,2-2, 0.50
Eastern,Southeast,Atlanta Hawks,Orlando Magic,2-2, 0.50
Eastern,Southeast,Atlanta Hawks,Washington Wizards,2-2, 0.50
Eastern,Southeast,Charlotte Hornets,Atlanta Hawks,0-4, 0.00
Eastern,Southeast,Charlotte Hornets,Miami Heat,1-3, 0.25
Eastern,Southeast,Charlotte Hornets,Orlando Magic,0-4, 0.00
Eastern,Southeast,Charlotte Hornets,Washington Wizards,0-4, 0.00
Eastern,Southeast,Miami Heat,Atlanta Hawks,2-2, 0.50
Eastern,Southeast,Miami Heat,Charlotte Hornets,3-1, 0.75
Eastern,Southeast,Miami Heat,Orlando Magic,2-2, 0.50
Eastern,Southeast,Miami Heat,Washington Wizards,3-1, 0.75
Eastern,Southeast,Orlando Magic,Atlanta Hawks,2-2, 0.50
Eastern,Southeast,Orlando Magic,Charlotte Hornets,4-0, 1.00
Eastern,Southeast,Orlando Magic,Miami Heat,2-2, 0.50
Eastern,Southeast,Orlando Magic,Washington Wizards,4-0, 1.00
Eastern,Southeast,Washington Wizards,Atlanta Hawks,2-2, 0.50
Eastern,Southeast,Washington Wizards,Charlotte Hornets,4-0, 1.00
Eastern,Southeast,Washington Wizards,Miami Heat,1-3, 0.25
Eastern,Southeast,Washington Wizards,Orlando Magic,0-4, 0.00
