Number,Name,Form,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,Generation,Sprite,Shiny
1,Bulbasaur,,Grass,Poison,45,49,49,65,65,45,1,poke_icon_0001_000_mf_n_00000000_f_n.png,poke_icon_sh_0001_000_mf_n_00000000_f_n.png
2,Ivysaur,,Grass,Poison,60,62,63,80,80,60,1,poke_icon_0002_000_mf_n_00000000_f_n.png,poke_icon_sh_0002_000_mf_n_00000000_f_n.png
3,Venusaur,,Grass,Poison,80,82,83,100,100,80,1,poke_icon_0003_000_md_n_00000000_f_n.png,poke_icon_sh_0003_000_md_n_00000000_f_n.png
4,Charmander,,Fire,,39,52,43,60,50,65,1,poke_icon_0004_000_mf_n_00000000_f_n.png,poke_icon_sh_0004_000_mf_n_00000000_f_n.png
5,Charmeleon,,Fire,,58,64,58,80,65,80,1,poke_icon_0005_000_mf_n_00000000_f_n.png,poke_icon_sh_0005_000_mf_n_00000000_f_n.png
6,Charizard,,Fire,Flying,78,84,78,109,85,100,1,poke_icon_0006_000_mf_n_00000000_f_n.png,poke_icon_sh_0006_000_mf_n_00000000_f_n.png
7,Squirtle,,Water,,44,48,65,50,64,43,1,poke_icon_0007_000_mf_n_00000000_f_n.png,poke_icon_sh_0007_000_mf_n_00000000_f_n.png
8,Wartortle,,Water,,59,63,80,65,80,58,1,poke_icon_0008_000_mf_n_00000000_f_n.png,poke_icon_sh_0008_000_mf_n_00000000_f_n.png
9,Blastoise,,Water,,79,83,100,85,105,78,1,poke_icon_0009_000_mf_n_00000000_f_n.png,poke_icon_sh_0009_000_mf_n_00000000_f_n.png
10,Caterpie,,Bug,,45,30,35,20,20,45,1,poke_icon_0010_000_mf_n_00000000_f_n.png,poke_icon_sh_0010_000_mf_n_00000000_f_n.png
11,Metapod,,Bug,,50,20,55,25,25,30,1,poke_icon_0011_000_mf_n_00000000_f_n.png,poke_icon_sh_0011_000_mf_n_00000000_f_n.png
