Team,Round,Goals_Conceded
Arsenal,Matchweek 10,1
Arsenal,Matchweek 11,1
Arsenal,Matchweek 13,2
Arsenal,Matchweek 15,1
Arsenal,Matchweek 17,1
Arsenal,Matchweek 19,1
Arsenal,Matchweek 20,1
Arsenal,Matchweek 21,1
Arsenal,Matchweek 22,2
Arsenal,Matchweek 24,1
Arsenal,Matchweek 26,1
Arsenal,Matchweek 28,1
Arsenal,Matchweek 3,1
Arsenal,Matchweek 30,1
Arsenal,Matchweek 31,1
Arsenal,Matchweek 32,1
Arsenal,Matchweek 34,2
Arsenal,Matchweek 35,2
Arsenal,Matchweek 36,2
Arsenal,Matchweek 38,1
Arsenal,Matchweek 5,2
Arsenal,Matchweek 6,2
Arsenal,Matchweek 7,1
Arsenal,Matchweek 8,2
Arsenal,Matchweek 9,2
Aston Villa,Matchweek 1,1
Aston Villa,Matchweek 10,4
Aston Villa,Matchweek 11,2
Aston Villa,Matchweek 12,2
Aston Villa,Matchweek 13,3
Aston Villa,Matchweek 14,1
Aston Villa,Matchweek 16,2
Aston Villa,Matchweek 17,1
Aston Villa,Matchweek 18,3
Aston Villa,Matchweek 19,2
Aston Villa,Matchweek 2,2
Aston Villa,Matchweek 20,1
Aston Villa,Matchweek 22,2
Aston Villa,Matchweek 23,1
Aston Villa,Matchweek 24,2
Aston Villa,Matchweek 25,1
Aston Villa,Matchweek 26,1
Aston Villa,Matchweek 27,4
Aston Villa,Matchweek 29,2
Aston Villa,Matchweek 3,1
Aston Villa,Matchweek 31,1
Aston Villa,Matchweek 33,1
Aston Villa,Matchweek 34,2
Aston Villa,Matchweek 38,2
Aston Villa,Matchweek 4,2
Aston Villa,Matchweek 5,1
Aston Villa,Matchweek 6,2
Aston Villa,Matchweek 8,1
Aston Villa,Matchweek 9,1
Bournemouth,Matchweek 1,1
Bournemouth,Matchweek 10,1
Bournemouth,Matchweek 11,3
Bournemouth,Matchweek 12,2
Bournemouth,Matchweek 13,2
Bournemouth,Matchweek 15,1
Bournemouth,Matchweek 16,1
Bournemouth,Matchweek 19,2
Bournemouth,Matchweek 2,1
Bournemouth,Matchweek 21,2
Bournemouth,Matchweek 22,1
Bournemouth,Matchweek 24,2
Bournemouth,Matchweek 25,1
Bournemouth,Matchweek 26,1
Bournemouth,Matchweek 27,2
Bournemouth,Matchweek 28,2
Bournemouth,Matchweek 29,2
Bournemouth,Matchweek 3,2
Bournemouth,Matchweek 30,2
Bournemouth,Matchweek 31,2
Bournemouth,Matchweek 34,1
Bournemouth,Matchweek 35,1
Bournemouth,Matchweek 36,1
Bournemouth,Matchweek 37,3
Bournemouth,Matchweek 4,1
Bournemouth,Matchweek 5,3
Bournemouth,Matchweek 6,1
Bournemouth,Matchweek 7,1
Bournemouth,Matchweek 9,1
Brentford,Matchweek 1,1
Brentford,Matchweek 10,2
Brentford,Matchweek 11,2
Brentford,Matchweek 13,1
Brentford,Matchweek 14,3
Brentford,Matchweek 15,2
Brentford,Matchweek 16,2
Brentford,Matchweek 17,2
Brentford,Matchweek 19,3
Brentford,Matchweek 2,2
Brentford,Matchweek 21,2
Brentford,Matchweek 22,2
Brentford,Matchweek 23,1
Brentford,Matchweek 24,2
Brentford,Matchweek 27,1
Brentford,Matchweek 28,1
Brentford,Matchweek 29,1
Brentford,Matchweek 3,1
Brentford,Matchweek 30,2
Brentford,Matchweek 32,1
Brentford,Matchweek 33,2
Brentford,Matchweek 35,3
Brentford,Matchweek 37,3
Brentford,Matchweek 38,1
Brentford,Matchweek 4,2
Brentford,Matchweek 5,3
Brentford,Matchweek 6,1
Brentford,Matchweek 7,3
Brentford,Matchweek 8,2
Brentford,Matchweek 9,3
Brighton,Matchweek 10,2
Brighton,Matchweek 11,1
Brighton,Matchweek 12,1
Brighton,Matchweek 13,1
Brighton,Matchweek 14,3
Brighton,Matchweek 15,2
Brighton,Matchweek 16,3
Brighton,Matchweek 17,1
Brighton,Matchweek 19,2
Brighton,Matchweek 2,1
Brighton,Matchweek 20,1
Brighton,Matchweek 22,1
Brighton,Matchweek 23,1
Brighton,Matchweek 24,7
Brighton,Matchweek 27,1
Brighton,Matchweek 28,1
Brighton,Matchweek 29,2
Brighton,Matchweek 3,1
Brighton,Matchweek 30,3
Brighton,Matchweek 31,2
Brighton,Matchweek 32,2
Brighton,Matchweek 33,4
Brighton,Matchweek 34,2
Brighton,Matchweek 35,1
Brighton,Matchweek 37,2
Brighton,Matchweek 38,1
Brighton,Matchweek 5,2
Brighton,Matchweek 6,4
Brighton,Matchweek 7,2
Brighton,Matchweek 9,2
Chelsea,Matchweek 1,2
Chelsea,Matchweek 10,1
Chelsea,Matchweek 11,1
Chelsea,Matchweek 12,1
Chelsea,Matchweek 14,1
Chelsea,Matchweek 15,3
Chelsea,Matchweek 16,1
Chelsea,Matchweek 18,2
Chelsea,Matchweek 19,2
Chelsea,Matchweek 2,2
Chelsea,Matchweek 20,1
Chelsea,Matchweek 21,2
Chelsea,Matchweek 22,1
Chelsea,Matchweek 23,3
Chelsea,Matchweek 24,1
Chelsea,Matchweek 25,3
Chelsea,Matchweek 26,2
Chelsea,Matchweek 29,1
Chelsea,Matchweek 3,1
Chelsea,Matchweek 32,2
Chelsea,Matchweek 33,1
Chelsea,Matchweek 35,1
Chelsea,Matchweek 36,2
Chelsea,Matchweek 6,2
Chelsea,Matchweek 7,1
Chelsea,Matchweek 8,2
Chelsea,Matchweek 9,1
Crystal Palace,Matchweek 1,2
Crystal Palace,Matchweek 10,2
Crystal Palace,Matchweek 11,2
Crystal Palace,Matchweek 12,2
Crystal Palace,Matchweek 13,1
Crystal Palace,Matchweek 15,2
Crystal Palace,Matchweek 16,1
Crystal Palace,Matchweek 17,5
Crystal Palace,Matchweek 19,1
Crystal Palace,Matchweek 2,2
Crystal Palace,Matchweek 20,1
Crystal Palace,Matchweek 23,2
Crystal Palace,Matchweek 25,2
Crystal Palace,Matchweek 27,1
Crystal Palace,Matchweek 29,5
Crystal Palace,Matchweek 3,1
Crystal Palace,Matchweek 30,1
Crystal Palace,Matchweek 31,1
Crystal Palace,Matchweek 32,5
Crystal Palace,Matchweek 34,2
Crystal Palace,Matchweek 35,1
Crystal Palace,Matchweek 37,2
Crystal Palace,Matchweek 38,1
Crystal Palace,Matchweek 4,2
Crystal Palace,Matchweek 6,2
Crystal Palace,Matchweek 7,1
Crystal Palace,Matchweek 8,1
Everton,Matchweek 1,3
Everton,Matchweek 10,1
Everton,Matchweek 13,4
Everton,Matchweek 15,2
Everton,Matchweek 18,1
Everton,Matchweek 19,2
Everton,Matchweek 2,4
Everton,Matchweek 20,1
Everton,Matchweek 21,1
Everton,Matchweek 22,2
Everton,Matchweek 25,1
Everton,Matchweek 26,2
Everton,Matchweek 27,1
Everton,Matchweek 28,1
Everton,Matchweek 29,1
