Team,Opponent,Gameweek,Goals_Scored
Arsenal,Wolves,Matchweek 1,2
Arsenal,Chelsea,Matchweek 11,1
Arsenal,Nott'ham Forest,Matchweek 12,3
Arsenal,West Ham,Matchweek 13,5
Arsenal,Manchester Utd,Matchweek 14,2
Arsenal,Fulham,Matchweek 15,1
Arsenal,Crystal Palace,Matchweek 17,5
Arsenal,Ipswich Town,Matchweek 18,1
Arsenal,Brentford,Matchweek 19,3
Arsenal,Aston Villa,Matchweek 2,2
Arsenal,Brighton,Matchweek 20,1
Arsenal,Tottenham,Matchweek 21,2
Arsenal,Aston Villa,Matchweek 22,2
Arsenal,Wolves,Matchweek 23,1
Arsenal,Manchester City,Matchweek 24,5
Arsenal,Leicester City,Matchweek 25,2
Arsenal,Manchester Utd,Matchweek 28,1
Arsenal,Chelsea,Matchweek 29,1
Arsenal,Brighton,Matchweek 3,1
Arsenal,Fulham,Matchweek 30,2
Arsenal,Everton,Matchweek 31,1
Arsenal,Brentford,Matchweek 32,1
Arsenal,Ipswich Town,Matchweek 33,4
Arsenal,Crystal Palace,Matchweek 34,2
Arsenal,Bournemouth,Matchweek 35,1
Arsenal,Liverpool,Matchweek 36,2
Arsenal,Newcastle Utd,Matchweek 37,1
Arsenal,Southampton,Matchweek 38,2
Arsenal,Tottenham,Matchweek 4,1
Arsenal,Manchester City,Matchweek 5,2
Arsenal,Leicester City,Matchweek 6,4
Arsenal,Southampton,Matchweek 7,3
Arsenal,Liverpool,Matchweek 9,2
Aston Villa,West Ham,Matchweek 1,2
Aston Villa,Tottenham,Matchweek 10,1
Aston Villa,Crystal Palace,Matchweek 12,2
Aston Villa,Brentford,Matchweek 14,3
Aston Villa,Southampton,Matchweek 15,1
Aston Villa,Nott'ham Forest,Matchweek 16,1
Aston Villa,Manchester City,Matchweek 17,2
Aston Villa,Brighton,Matchweek 19,2
Aston Villa,Leicester City,Matchweek 20,2
Aston Villa,Everton,Matchweek 21,1
Aston Villa,Arsenal,Matchweek 22,2
Aston Villa,West Ham,Matchweek 23,1
Aston Villa,Ipswich Town,Matchweek 25,1
Aston Villa,Chelsea,Matchweek 26,2
Aston Villa,Crystal Palace,Matchweek 27,1
Aston Villa,Brentford,Matchweek 28,1
Aston Villa,Liverpool,Matchweek 29,2
Aston Villa,Leicester City,Matchweek 3,2
Aston Villa,Brighton,Matchweek 30,3
Aston Villa,Nott'ham Forest,Matchweek 31,2
Aston Villa,Southampton,Matchweek 32,3
Aston Villa,Newcastle Utd,Matchweek 33,4
Aston Villa,Manchester City,Matchweek 34,1
Aston Villa,Fulham,Matchweek 35,1
Aston Villa,Bournemouth,Matchweek 36,1
Aston Villa,Tottenham,Matchweek 37,2
Aston Villa,Everton,Matchweek 4,3
Aston Villa,Wolves,Matchweek 5,3
Aston Villa,Ipswich Town,Matchweek 6,2
Aston Villa,Fulham,Matchweek 8,3
Aston Villa,Bournemouth,Matchweek 9,1
Bournemouth,Nott'ham Forest,Matchweek 1,1
Bournemouth,Manchester City,Matchweek 10,2
Bournemouth,Brentford,Matchweek 11,2
Bournemouth,Brighton,Matchweek 12,1
Bournemouth,Wolves,Matchweek 13,4
Bournemouth,Tottenham,Matchweek 14,1
Bournemouth,Ipswich Town,Matchweek 15,2
Bournemouth,West Ham,Matchweek 16,1
Bournemouth,Manchester Utd,Matchweek 17,3
Bournemouth,Fulham,Matchweek 19,2
Bournemouth,Newcastle Utd,Matchweek 2,1
Bournemouth,Everton,Matchweek 20,1
Bournemouth,Chelsea,Matchweek 21,2
