Team,Scorer,Goals
Arsenal,Bukayo Saka,6
Arsenal,Declan Rice,4
Arsenal,Dominic Solanke (OG),1
Arsenal,Ethan Nwaneri,4
Arsenal,Gabriel Jesus,3
Arsenal,Gabriel Magalhães,3
Arsenal,Gabriel Martinelli,8
Arsenal,Jakub Kiwior,1
Arsenal,Jurriën Timber,1
Arsenal,Kai Havertz,9
Arsenal,Kieran Tierney,1
Arsenal,Leandro Trossard,8
Arsenal,Martin Ødegaard,3
Arsenal,Mikel Merino,7
Arsenal,Myles Lewis-Skelly,1
Arsenal,Riccardo Calafiori,2
Arsenal,Thomas Partey,4
Arsenal,Wilfred Ndidi (OG),1
Arsenal,William Saliba,2
Aston Villa,Amadou Onana,3
Aston Villa,Boubacar Kamara,1
Aston Villa,Dan Burn (OG),1
Aston Villa,Donyell Malen,3
Aston Villa,Ezri Konsa,2
Aston Villa,Ian Maatsen,1
Aston Villa,Issa Diop (OG),1
Aston Villa,Jacob Ramsey,1
Aston Villa,John McGinn,1
Aston Villa,Jáder Durán,7
Aston Villa,Leon Bailey,1
Aston Villa,Marco Asensio,3
Aston Villa,Marcus Rashford,2
Aston Villa,Matty Cash,1
Aston Villa,Morgan Rogers,8
Aston Villa,Ollie Watkins,16
Aston Villa,Ross Barkley,3
Aston Villa,Youri Tielemans,3
Bournemouth,Antoine Semenyo,11
Bournemouth,Dango Ouattara,7
Bournemouth,Daniel Jebbison,1
Bournemouth,David Brooks,2
Bournemouth,Dean Huijsen,3
Bournemouth,Enes Ünal,2
Bournemouth,Evanilson,10
Bournemouth,Justin Kluivert,12
Bournemouth,Lewis Cook,1
Bournemouth,Luis Sinisterra,1
Bournemouth,Marcus Tavernier,3
Bournemouth,Milos Kerkez,2
Bournemouth,Ryan Christie,2
Bournemouth,Vitaly Janelt (OG),1
Brentford,Bryan Mbeumo,20
Brentford,Christian Nørgaard,5
Brentford,Ethan Pinnock,2
Brentford,Fabio Carvalho,2
Brentford,Keane Lewis-Potter,1
Brentford,Kevin Schade,11
Brentford,Luke Shaw (OG),1
Brentford,Mikkel Damsgaard,2
Brentford,Nathan Collins,2
Brentford,Vitaly Janelt,1
Brentford,Yoane Wissa,19
Brighton,Abdukodir Khusanov (OG),1
Brighton,Brajan Gruda,1
Brighton,Carlos Baleba,3
Brighton,Danny Welbeck,10
Brighton,Diego Gómez,1
Brighton,Evan Ferguson,1
Brighton,Ferdi Kadioglu,1
Brighton,Georginio Rutter,5
Brighton,Jack Hinshelwood,5
Brighton,Jan Paul van Hecke,1
Brighton,João Pedro,10
Brighton,Kaoru Mitoma,10
Brighton,Marc Guéhi (OG),1
Brighton,Mats Wieffer,1
Brighton,Matt O'Riley,2
Brighton,Pervis Estupiñán,1
Brighton,Simon Adingra,2
Brighton,Tariq Lamptey,2
Brighton,Yankuba Minteh,6
Brighton,Yasin Ayari,2
Chelsea,Aaron Wan-Bissaka (OG),1
Chelsea,Axel Disasi,1
Chelsea,Axel Tuanzebe (OG),1
Chelsea,Christopher Nkunku,3
Chelsea,Cole Palmer,15
Chelsea,Enzo Fernández,6
Chelsea,Jadon Sancho,3
Chelsea,Jarell Quansah (OG),1
Chelsea,João Félix,1
Chelsea,Levi Colwill,2
Chelsea,Marc Cucurella,5
Chelsea,Moisés Caicedo,1
Chelsea,Nicolas Jackson,10
Chelsea,Noni Madueke,7
Chelsea,Pedro Neto,4
Chelsea,Reece James,1
Chelsea,Tosin Adarabioyo,1
Chelsea,Tyrique George,1
Crystal Palace,Ben Chilwell,1
Crystal Palace,Chris Richards,1
Crystal Palace,Daniel Muñoz,4
Crystal Palace,Eberechi Eze,8
Crystal Palace,Eddie Nketiah,3
Crystal Palace,Ethan Pinnock (OG),1
Crystal Palace,Ismaila Sarr,8
Crystal Palace,Jean-Philippe Mateta,14
Crystal Palace,Joachim Andersen (OG),1
Crystal Palace,Justin Devenny,1
Crystal Palace,Marc Guéhi,3
Crystal Palace,Matheus França,1
Crystal Palace,Maxence Lacroix,1
Crystal Palace,Romain Esse,1
Crystal Palace,Trevoh Chalobah,3
Everton,Abdoulaye Doucouré,3
Everton,Archie Gray (OG),1
Everton,Ashley Young,1
Everton,Beto,8
Everton,Carlos Alcaraz,2
Everton,Craig Dawson (OG),2
Everton,Dominic Calvert-Lewin,3
Everton,Dwight McNeil,4
Everton,Iliman Ndiaye,9
Everton,Jack Harrison,1
Everton,Jake O'Brien,2
Everton,James Tarkowski,1
Everton,Michael Keane,3
Everton,Orel Mangala,1
Everton,Vitaliy Mykolenko,1
Fulham,Adama Traoré,2
Fulham,Alex Iwobi,9
Fulham,Andreas Pereira,2
Fulham,Calvin Bassey,1
Fulham,Emile Smith Rowe,6
Fulham,Harry Wilson,6
Fulham,Matt O'Riley (OG),1
Fulham,Raúl Jiménez,12
Fulham,Reiss Nelson,1
Fulham,Rodrigo Muniz,8
Fulham,Ryan Sessegnon,4
Fulham,Tom Cairney,2
Ipswich Town,Ben Johnson,1
Ipswich Town,Conor Chaplin,1
Ipswich Town,George Hirst,3
Ipswich Town,Jack Taylor,1
Ipswich Town,Jacob Greaves,1
Ipswich Town,Jaden Philogene Bidace,2
Ipswich Town,Jens Cajuste,1
Ipswich Town,Julio Enciso,2
Ipswich Town,Leif Davis,1
Ipswich Town,Liam Delap,12
Ipswich Town,Matt Doherty (OG),1
Ipswich Town,Nathan Broadhead,2
Ipswich Town,Omari Hutchinson,3
Ipswich Town,Sam Morsy,1
Ipswich Town,Sammie Szmodics,4
Leicester City,Bilal El Khannouss,2
Leicester City,Bobby De Cordova-Reid,1
Leicester City,Caleb Okoli,1
Leicester City,Conor Coady,1
Leicester City,Facundo Buonanotte,5
Leicester City,James Justin,2
Leicester City,Jamie Vardy,9
Leicester City,Jordan Ayew,5
Leicester City,Kasey McAteer,1
Leicester City,Patson Daka,1
Leicester City,Stephy Mavididi,4
Leicester City,Wout Faes,1
Liverpool,Alexis Mac Allister,5
Liverpool,Cody Gakpo,10
Liverpool,Curtis Jones,3
Liverpool,Darwin Núñez,5
Liverpool,Destiny Udogie (OG),1
Liverpool,Diogo Jota,6
Liverpool,Dominik Szoboszlai,6
Liverpool,Harvey Elliott,1
Liverpool,Ibrahima Konaté,1
Liverpool,Luis Díaz,13
Liverpool,Mohamed Salah,29
Liverpool,Trent Alexander-Arnold,3
Liverpool,Virgil van Dijk,3
Manchester City,?lkay Gündo?an,1
Manchester City,Bernardo Silva,4
Manchester City,Erling Haaland,22
