,artist,tempo,duration,loudness
0,Manuel Turizo,124.98,2.7106166666666667,-5.329
1,Bad Bunny,118.93945454545457,3.1168659090909094,-5.711909090909091
2,OneRepublic,119.63112068965515,3.617583333333333,-6.901689655172413
3,Chris Brown,130.9135,2.778025,-5.9254999999999995
4,Harry Styles,134.66,2.8441916666666667,-4.7735
5,Joji,169.914,3.8909333333333334,-9.258
6,The Neighbourhood,108.85372,3.792949333333333,-6.56688
7,Tom Odell,112.12255555555556,3.0362203703703705,-11.66288888888889
8,Beyoncé,115.042,3.756466666666667,-5.668
9,KAROL G,159.46716666666669,3.2286611111111108,-4.821166666666667
10,Arctic Monkeys,123.43641414141415,3.509451851851852,-6.6845757575757565
11,Nicki Minaj,133.01,2.8496166666666665,-2.653
12,Luar La L,121.737,2.3556666666666666,-4.948
13,The Weeknd,127.08350000000002,3.779819444444444,-5.813333333333333
14,Kate Bush,118.58355555555555,4.248981481481481,-13.002444444444444
15,Beach Weather,143.969,3.279733333333333,-5.083
16,Doja Cat,120.83233333333334,3.2366944444444443,-5.977833333333333
17,Lil Nas X,136.15800000000002,2.5215833333333335,-5.5794999999999995
18,Seafret,123.51591666666667,3.6809708333333333,-7.734083333333333
19,Elley Duhé,185.727,3.074116666666667,-8.271
20,Ruth B.,116.959,3.8953333333333333,-2.958
21,Stephen Sanchez,119.59821428571429,3.5282154761904763,-8.602428571428572
22,Rels B,97.22319999999999,2.8975233333333335,-6.962000000000001
23,Imagine Dragons,119.15035714285716,3.3515083333333333,-5.249928571428572
24,Zach Bryan,136.9135,3.5034055555555557,-7.9525000000000015
25,Lizzo,144.98499999999999,3.0322958333333334,-4.66375
26,Armani White,100.007,1.6547,-6.647
27,The Walters,75.977,2.67065,-4.891
28,Glass Animals,127.84633333333335,4.269155555555556,-8.652666666666667
29,Ghost,122.81938461538464,4.158439743589744,-5.73
30,Billie Eilish,122.16407142857143,3.3396785714285717,-10.231892857142855
31,Olivia Rodrigo,152.2502,3.4694133333333332,-7.736200000000001
32,IVE,120.97766666666666,2.958955555555556,-2.8056666666666668
33,Ed Sheeran,111.8092,3.9081,-6.739
34,Omar Apollo,86.4234,3.06922,-8.757200000000001
35,J. Cole,100.028,4.879983333333334,-8.492
36,Sam Smith,101.7275,3.62950625,-7.869375
37,Eminem,131.13766666666666,4.938813888888888,-3.4324999999999997
38,Justin Bieber,122.69250000000001,3.3725854166666664,-6.543374999999999
39,Taylor Swift,111.35171428571428,3.903088095238095,-6.452
40,One Direction,116.2782,3.6411066666666665,-5.5326
41,Paloma Faith,105.46379999999999,3.541183333333333,-5.5528
42,BLACKPINK,124.64938235294119,3.2969161764705883,-5.338029411764706
43,Lewis Capaldi,109.891,3.036,-5.679
44,Yung Gravy,102.004,2.4411666666666667,-6.784
45,Feid,159.0390909090909,2.823893939393939,-4.754999999999999
46,Bruno Mars,126.64450000000001,3.6545055555555557,-4.267666666666667
47,Tears For Fears,112.59692857142855,5.111295238095238,-8.208928571428572
48,XXXTENTACION,117.68796,2.0613123333333334,-8.802739999999998
49,Conan Gray,102.078,3.300666666666667,-7.301
50,Måneskin,124.0554,3.24941,-4.069
51,Farruko,126.71199999999999,4.521772222222222,-4.445
52,The Police,122.33175000000001,3.788775,-8.8345
53,Benson Boone,78.007,3.6068333333333333,-6.031
54,Jack Harlow,120.94571428571429,2.70565,-6.618428571428573
55,Morgan Wallen,155.22166666666666,3.1685722222222226,-4.9110000000000005
56,Surf Curse,144.11385714285717,3.5640845238095236,-5.23492857142857
57,Avicii,125.88914285714284,3.7163904761904765,-4.996857142857143
58,Shawn Mendes,123.38714285714283,3.2949166666666665,-5.103142857142857
59,GAYLE,123.214,2.8991314814814815,-6.2701111111111105
60,TWICE,133.056294117647,3.363766666666667,-2.807941176470588
61,The Killers,138.00424999999998,3.69155,-5.4677500000000006
62,Radiohead,112.59227272727274,4.716983333333333,-9.771727272727272
63,Jaymes Young,105.6485,4.042216666666667,-8.849
64,Linkin Park,125.36851190476193,3.666350793650794,-4.9955952380952375
65,Keane,131.86853846153846,3.76233717948718,-5.555923076923078
66,Maroon 5,140.459,3.5041583333333333,-6.8505
67,Fujii Kaze,128.51817647058826,4.133821568627451,-7.010058823529413
68,AC/DC,131.23232,4.217682666666667,-4.7036
69,Alec Benjamin,119.46755555555556,2.9382546296296295,-6.0713333333333335
70,Panic! At The Disco,126.98057142857144,3.3168214285714286,-4.335142857142857
71,Bon Jovi,124.41353333333333,4.791458888888889,-4.5633333333333335
72,Twenty One Pilots,106.24975,3.905104166666667,-6.942
73,Adele,123.10790476190475,4.423821825396826,-7.244380952380952
74,Ariana Grande,130.101,3.2733425925925927,-6.147777777777779
75,a-ha,111.61724999999998,4.349238333333333,-7.8069999999999995
76,Coldplay,133.667,4.333913333333333,-7.738200000000001
77,BTS,124.83678899082568,3.8163923547400613,-4.749908256880734
78,James Arthur,85.043,3.5244333333333335,-7.398
79,Frank Ocean,115.32317647058824,4.059159803921569,-9.43935294117647
80,John Legend,120.31566666666667,3.679908333333333,-6.213333333333334
81,Dua Lipa,108.03857142857143,3.5240452380952383,-5.275714285714287
82,Yot Club,123.735,3.5458333333333334,-7.623
83,Foo Fighters,137.05339130434783,4.284835507246377,-5.387652173913044
84,The White Stripes,118.79920000000001,3.1230683333333333,-6.286300000000001
85,Travis Scott,136.1152142857143,3.5473,-5.554571428571428
86,Cigarettes After Sex,106.56837931034484,4.565625287356322,-10.984068965517238
87,Foster The People,127.975,3.993333333333333,-5.849
88,Guns N' Roses,125.55115789473683,5.386531578947368,-7.999842105263158
89,Drake,77.169,3.3162166666666666,-9.211
90,Creedence Clearwater Revival,120.193,2.744475,-6.924333333333333
91,Gorillaz,129.924,4.1566625,-6.732749999999999
92,Zion & Lennox,95.06,3.866983333333333,-5.899
93,Eagles,105.892875,4.947889583333334,-10.310125
94,Elton John,130.20674193548388,4.35482688172043,-9.290612903225806
95,R.E.M.,109.97,4.905766666666667,-7.751
96,Anitta,121.73,2.5210222222222223,-4.9319999999999995
97,Giveon,89.087,3.3061666666666665,-8.964
98,Bailey Zimmerman,143.42875,3.311622916666667,-6.0036249999999995
99,Tate McRae,124.148,2.821083333333333,-9.389
100,Kendrick Lamar,144.9835,3.1079166666666667,-6.0825
101,Journey,116.94666666666667,4.156438888888889,-7.418166666666667
102,Shubh,118.76425,3.0929333333333333,-9.32075
103,Nirvana,132.38263999999998,3.488258,-8.573559999999999
104,MGMT,106.12575000000001,4.556,-4.247249999999999
105,System Of A Down,119.94950000000001,3.409495833333333,-3.5734999999999997
106,The Goo Goo Dolls,130.4922,4.07844,-7.382
107,"Earth, Wind & Fire",127.54533333333335,4.6247388888888885,-9.804
108,AP Dhillon,118.33374999999998,2.8070583333333334,-8.30625
109,WALK THE MOON,130.515,3.6253333333333333,-4.3165
110,TOTO,92.718,4.93155,-18.064
111,dhruv,103.68022222222221,3.3310407407407405,-9.516666666666666
112,Mitski,113.21666666666665,2.937022222222222,-6.929000000000001
113,Vacations,79.935,3.1526666666666667,-4.065
114,Hozier,125.88852631578948,4.0057561403508775,-7.6032631578947365
115,Cafuné,161.641,2.9196722222222222,-5.150666666666667
116,Charlie Puth,141.81680000000003,2.9347877777777778,-6.032000000000001
117,Kenshi Yonezu,111.55454545454545,4.048057575757576,-5.248
118,Labrinth,105.5022857142857,2.6386190476190476,-7.494571428571429
119,Lord Huron,106.386,4.0776125,-8.04175
120,Future,150.062,3.41,-8.795
121,50 Cent,90.051,3.2244333333333333,-2.752
122,Lauv,111.40664285714286,3.217480952380952,-8.050785714285714
123,LE SSERAFIM,115.25975000000001,3.1304791666666665,-4.900250000000001
124,Capital Cities,117.956,3.21315,-4.852
125,blink-182,145.4237777777778,3.166971296296296,-4.930555555555555
126,ABBA,121.81245161290323,3.9805983870967743,-8.150967741935483
127,The Rare Occasions,159.488,3.252,-3.825
128,TV Girl,107.82866666666666,3.2263555555555556,-5.954000000000001
129,Burna Boy,108.44867857142857,3.0607875,-7.400607142857142
130,Mac DeMarco,111.4005,3.5214,-7.8705
131,Aerosmith,127.87371428571427,4.968107142857143,-5.802214285714285
132,Vundabar,82.102,3.502325,-5.247
133,Anne-Marie,124.16285714285713,3.0820714285714286,-4.589285714285714
134,Red Hot Chili Peppers,117.85027272727274,4.296645454545454,-6.170363636363636
135,Ice Cube,110.24974999999999,4.1076041666666665,-7.00575
136,Stray Kids,123.74159090909089,3.152103787878788,-3.2764090909090906
137,Calvin Harris,125.9645,3.6499375,-3.776
138,Chord Overstreet,129.08225000000002,3.47878125,-9.965
139,Jax,145.76266666666666,2.8960462962962965,-8.40011111111111
140,The Beatles,122.11902684563759,2.873728187919463,-9.228369127516778
141,Tiësto,121.49975,2.779639583333333,-4.833375
142,Troye Sivan,82.638,3.375061111111111,-6.512666666666667
143,Bryan Adams,118.01961538461536,4.614928205128205,-8.32676923076923
144,The Cranberries,130.3885,4.810216666666666,-7.8145
145,Daddy Yankee,121.19863636363638,3.527037878787879,-4.086454545454545
146,Train,97.012,3.6128833333333334,-4.44
147,MKTO,102.071,2.923766666666667,-4.689
148,Evanescence,130.11775,3.4673291666666666,-4.4342500000000005
149,Ricky Montgomery,160.0305,3.8872166666666668,-5.833
150,Beach Bunny,136.967,2.489316666666667,-5.4526666666666666
151,New West,119.948,3.6791666666666667,-8.043
152,Queen,117.11275,4.44958125,-7.2947500000000005
153,Vance Joy,122.79177777777778,3.7504962962962964,-6.140888888888888
