feature,popularity,danceability,energy,loudness,duration_ms,speechiness,acousticness,instrumentalness,liveness,valence,tempo
popularity,,0.08725003125250967,-0.0008662043550847481,0.09016377158153246,-0.05327499862360592,-0.06490605109003376,-0.03216537808071623,-0.17449346913430594,-0.02895682555058194,0.011300493285905745,0.0018792071807904767
danceability,,,0.13465420559920976,0.2649341824704914,-0.06015513462148326,0.10829510751814996,-0.16783237394517425,-0.19153190304160342,-0.132780484263184,0.49212464796330113,-0.01547214123237827
energy,,,,0.7610419152450906,0.05839774295538741,0.139823222102399,-0.7311054812840995,-0.1864441579110782,0.19093182294380787,0.25394831578241545,0.2608384505162078
loudness,,,,,0.0024035098390205365,0.05401943814714948,-0.5821304685523537,-0.43439071192585177,0.08027126445246072,0.28994694236840884,0.2340314318927664
duration_ms,,,,,,-0.06368082223209325,-0.10629760362858127,0.10976963123672283,0.005619042196943935,-0.14096223140522487,0.024048683592205376
speechiness,,,,,,,0.012312888223799846,-0.10699595873411778,0.2316274049212246,0.035070508430278015,-0.0032093073127247023
acousticness,,,,,,,,0.09524965513350829,-0.01636435566181486,-0.10169104067222053,-0.22358892312996442
instrumentalness,,,,,,,,,-0.096608189184935,-0.33237937289547775,-0.05894759158704831
liveness,,,,,,,,,,0.014415788932622613,-0.008846272631334888
valence,,,,,,,,,,,0.09313741033769289
tempo,,,,,,,,,,,
