,Metric,Correlation,Genre
0,duration_ms,-0.0560385924427476,All
1,danceability,0.09597747194902662,All
2,energy,0.006249161133086792,All
3,loudness,0.10094263833784482,All
4,speechiness,-0.06990425499130264,All
5,acousticness,-0.04284984690780321,All
6,instrumentalness,-0.18760052984825806,All
7,liveness,-0.03575653369728488,All
8,valence,0.02093770440875475,All
9,tempo,0.0003949940050475274,All
0,duration_ms,-0.08976811539790173,dance
1,danceability,-0.05663131676890174,dance
2,energy,-0.1675183274747588,dance
3,loudness,0.02081966825242616,dance
4,speechiness,-0.03082087693392689,dance
5,acousticness,0.1957881522212151,dance
6,instrumentalness,-0.11249538932924957,dance
7,liveness,-0.09565359386941845,dance
8,valence,0.009322963408550473,dance
9,tempo,0.017240048620952384,dance
0,duration_ms,0.06110637642140075,hip-hop
1,danceability,-0.06550060871765742,hip-hop
2,energy,0.09383746389307605,hip-hop
3,loudness,0.013578479322158587,hip-hop
4,speechiness,-0.10644102792245168,hip-hop
5,acousticness,0.13355429960435367,hip-hop
6,instrumentalness,0.04850817139129048,hip-hop
7,liveness,-0.03724814947148998,hip-hop
8,valence,0.1293189427206181,hip-hop
9,tempo,-0.09906645295407611,hip-hop
0,duration_ms,-0.01781129022014072,pop
1,danceability,0.04633083592220391,pop
2,energy,0.06564252439175339,pop
3,loudness,0.11828248391128207,pop
4,speechiness,0.06393763665058183,pop
5,acousticness,-0.014719319199765967,pop
6,instrumentalness,-0.07377493263164626,pop
7,liveness,0.013505178384133565,pop
8,valence,0.020540751415545483,pop
9,tempo,-0.0148638304662354,pop
0,duration_ms,-0.004687514279418305,reggaeton
1,danceability,0.0687642902733896,reggaeton
2,energy,-0.08135131428845407,reggaeton
3,loudness,-0.0236978083121583,reggaeton
4,speechiness,-0.06424390143207513,reggaeton
5,acousticness,-0.06374161792100189,reggaeton
6,instrumentalness,0.08194630186937317,reggaeton
7,liveness,-0.010402453192744817,reggaeton
8,valence,-0.07447771833526012,reggaeton
9,tempo,-0.03593510739159902,reggaeton
0,duration_ms,0.0745527946956439,latino
1,danceability,0.03613987330861387,latino
2,energy,0.09477146823366664,latino
3,loudness,0.23752295851557673,latino
4,speechiness,-0.1127420912682176,latino
5,acousticness,-0.08857955055114143,latino
6,instrumentalness,-0.09695756560608669,latino
7,liveness,-0.09837103518517956,latino
8,valence,-0.08332554407775003,latino
9,tempo,-0.05937970753411414,latino
0,duration_ms,0.016900852147023207,latin
1,danceability,0.15030011255008183,latin
2,energy,0.07840815346917251,latin
3,loudness,0.003285917834404949,latin
4,speechiness,0.1854625132930301,latin
5,acousticness,-0.15310792538759785,latin
6,instrumentalness,-0.011915452303466672,latin
7,liveness,-0.04121153042186131,latin
8,valence,-0.026976762504874442,latin
9,tempo,-0.046061524670798645,latin
0,duration_ms,0.002302298062627915,alt-rock
1,danceability,-0.04918755717443639,alt-rock
2,energy,0.028566571445816247,alt-rock
3,loudness,0.14180780247462094,alt-rock
4,speechiness,-0.030750834524646744,alt-rock
5,acousticness,-0.038880787491153125,alt-rock
6,instrumentalness,-0.007030599866070801,alt-rock
7,liveness,-0.004130839735096877,alt-rock
8,valence,-0.11048491526397725,alt-rock
9,tempo,-0.04922040749123871,alt-rock
0,duration_ms,-0.017245035178636365,chill
1,danceability,0.1206884593223234,chill
2,energy,0.048572606088868084,chill
3,loudness,0.04720929205271622,chill
4,speechiness,0.10792592384101822,chill
5,acousticness,-0.06827455815203666,chill
6,instrumentalness,-0.07658837955853288,chill
7,liveness,-0.010539328127452402,chill
8,valence,0.13925212409159218,chill
9,tempo,-0.015911561854226586,chill
0,duration_ms,0.04894691000359495,reggae
1,danceability,-0.045573225800181215,reggae
2,energy,-0.1765265451900008,reggae
3,loudness,-0.1769454869160081,reggae
4,speechiness,-0.03363912031814103,reggae
5,acousticness,0.12555039912264604,reggae
6,instrumentalness,0.06892119180256065,reggae
7,liveness,-0.0485968173395831,reggae
8,valence,-0.03710886069272323,reggae
9,tempo,0.008732857977576202,reggae
0,duration_ms,-0.08117942049850024,indie
1,danceability,-8.538746311536069e-05,indie
2,energy,0.005960328477664878,indie
3,loudness,0.047376607868112104,indie
4,speechiness,0.08770582269218416,indie
5,acousticness,-0.0453173764241029,indie
6,instrumentalness,0.12919914174490366,indie
7,liveness,0.012498699703563338,indie
8,valence,0.022309456812536717,indie
9,tempo,-0.03957007986491992,indie
0,duration_ms,0.08562552838608423,rock
1,danceability,0.10864507208019164,rock
2,energy,0.08057056789665144,rock
3,loudness,0.09852162933273959,rock
4,speechiness,-0.02485203464642414,rock
5,acousticness,-0.17492939260204415,rock
6,instrumentalness,-0.08931640548662668,rock
7,liveness,-0.023623549788910708,rock
8,valence,-0.14044224021808752,rock
9,tempo,-0.0926946644827556,rock
0,duration_ms,-0.25665172956857163,groove
1,danceability,0.0967562386181519,groove
2,energy,0.3314115838076577,groove
3,loudness,0.21292622060755179,groove
4,speechiness,-0.018411287727613253,groove
5,acousticness,-0.33446324273590716,groove
6,instrumentalness,0.08872369390908677,groove
7,liveness,-0.21352115632315208,groove
8,valence,0.02546845812076584,groove
9,tempo,0.028260497635871032,groove
0,duration_ms,-0.11217460409238995,folk
1,danceability,-0.03347534874124836,folk
2,energy,-0.08946114009562013,folk
3,loudness,-0.11505863784271626,folk
4,speechiness,-0.0890616818155596,folk
5,acousticness,0.009855817050648153,folk
6,instrumentalness,0.07608736980234908,folk
7,liveness,-0.15328437959440905,folk
8,valence,-0.1419136131297808,folk
9,tempo,-0.0919949881149604,folk
0,duration_ms,-0.13668433783576972,piano
1,danceability,0.05022485384630364,piano
2,energy,0.07055590853654063,piano
3,loudness,-0.006452385977130852,piano
4,speechiness,-0.052139465077525114,piano
5,acousticness,-0.1075392076264606,piano
6,instrumentalness,-0.13601540107903234,piano
7,liveness,-0.0916281354360796,piano
8,valence,0.17127277133106103,piano
9,tempo,0.028637366859638618,piano
0,duration_ms,0.051267374309179346,country
1,danceability,0.06588086706211875,country
2,energy,-0.1162622575601967,country
3,loudness,-0.15331598859060805,country
4,speechiness,0.0022023784194949328,country
5,acousticness,0.041555201832515716,country
6,instrumentalness,0.036264783694767176,country
7,liveness,0.015025568809951182,country
8,valence,-0.004069614157918028,country
9,tempo,0.005219118482842416,country
0,duration_ms,0.1380307274280804,funk
1,danceability,-0.07786514707479264,funk
2,energy,0.002900899796728353,funk
3,loudness,-0.05828585916123792,funk
4,speechiness,-0.04616843378317439,funk
5,acousticness,-0.034517176561883245,funk
6,instrumentalness,-0.08555390168570831,funk
7,liveness,-0.00011341442533739175,funk
8,valence,3.168950449187128e-05,funk
9,tempo,-0.09824038000768331,funk
0,duration_ms,-0.12674223802323428,edm
1,danceability,-0.008817305505106681,edm
2,energy,-0.17675763163941832,edm
3,loudness,0.0965818383531761,edm
4,speechiness,0.06982391291398321,edm
5,acousticness,0.15268102998155872,edm
6,instrumentalness,-0.1809701181532664,edm
7,liveness,0.013924938177241433,edm
8,valence,0.0005541494457514526,edm
9,tempo,-0.004959886674526684,edm
0,duration_ms,-0.19304091185140157,k-pop
1,danceability,0.08831831334979809,k-pop
2,energy,0.2576812696269283,k-pop
3,loudness,0.4817343920886592,k-pop
4,speechiness,0.05806664555462912,k-pop
5,acousticness,-0.39264537686559425,k-pop
6,instrumentalness,-0.0991808333414671,k-pop
7,liveness,0.004150539197964561,k-pop
8,valence,-0.08472044294126248,k-pop
9,tempo,0.08266295338673528,k-pop
0,duration_ms,0.10634215766167569,soul
1,danceability,0.1456649290194652,soul
2,energy,0.03572883586213022,soul
3,loudness,0.18132433352035265,soul
4,speechiness,0.13643439385962297,soul
5,acousticness,-0.08469092985848838,soul
6,instrumentalness,0.054519217013944646,soul
7,liveness,-0.0274106422255134,soul
8,valence,-0.19013778103744994,soul
9,tempo,-0.024976034113655062,soul
0,duration_ms,0.08580568443493683,indian
1,danceability,-0.0380525996456403,indian
2,energy,0.07870918620863016,indian
3,loudness,0.1538720441887561,indian
4,speechiness,-0.15077523221203637,indian
5,acousticness,0.11078795005696751,indian
6,instrumentalness,-0.20027657481250047,indian
7,liveness,0.018987234393795762,indian
8,valence,0.15288107512393226,indian
9,tempo,-0.030146231380688494,indian
0,duration_ms,-0.038666673033020245,british
1,danceability,0.192309625275442,british
2,energy,0.22448237846659894,british
3,loudness,0.2880955588388039,british
4,speechiness,0.01637284265102696,british
5,acousticness,-0.12991115063844752,british
6,instrumentalness,-0.32248605570380334,british
7,liveness,0.019073561592435465,british
8,valence,0.23218318385010847,british
9,tempo,0.09302957214002174,british
0,duration_ms,0.11477766944769748,electro
1,danceability,-0.0253582816953416,electro
2,energy,-0.07422947209973789,electro
3,loudness,-0.04828147694018633,electro
4,speechiness,0.026225489638624058,electro
5,acousticness,-0.028089662911678623,electro
6,instrumentalness,-0.10468096959829805,electro
7,liveness,0.003906799615889271,electro
8,valence,-0.05321517125806146,electro
9,tempo,0.07143063564703699,electro
0,duration_ms,0.10713237245245073,alternative
1,danceability,-0.12091968240680627,alternative
2,energy,0.11340977009140783,alternative
3,loudness,0.08034207655376079,alternative
4,speechiness,-0.3835120332195848,alternative
5,acousticness,-0.2050869943817215,alternative
6,instrumentalness,0.0937058761252718,alternative
7,liveness,-0.023806565340083078,alternative
8,valence,-0.14073559912973074,alternative
9,tempo,0.033615347633176716,alternative
0,duration_ms,-0.08285811301279651,synth-pop
1,danceability,0.08965852830642763,synth-pop
2,energy,-0.023214285058121443,synth-pop
3,loudness,-0.021967119772071136,synth-pop
4,speechiness,-0.021070311905062745,synth-pop
5,acousticness,0.02937771425720313,synth-pop
6,instrumentalness,-0.0027859762317140693,synth-pop
7,liveness,-0.09248716136950438,synth-pop
8,valence,0.051029838968624376,synth-pop
9,tempo,-0.03848851333204372,synth-pop
0,duration_ms,-0.2169487934329911,emo
1,danceability,0.09246438073582476,emo
2,energy,-0.21529291474689638,emo
3,loudness,-0.07639636642749445,emo
4,speechiness,-0.05907128585436757,emo
5,acousticness,0.08163349350565015,emo
6,instrumentalness,0.08965969188531678,emo
7,liveness,-0.148205459357698,emo
8,valence,-0.09870880497529652,emo
9,tempo,-0.01578762345593264,emo
0,duration_ms,-0.06539037128069783,indie-pop
1,danceability,-0.007540089102745976,indie-pop
2,energy,0.002964981357972018,indie-pop
3,loudness,-0.0878843317852743,indie-pop
4,speechiness,-0.006376978151029343,indie-pop
5,acousticness,-0.04104670805256402,indie-pop
6,instrumentalness,0.19051430076062137,indie-pop
7,liveness,0.0357712791017004,indie-pop
8,valence,-0.055386343224753824,indie-pop
9,tempo,0.08363777337374731,indie-pop
0,duration_ms,-0.043724395459782815,techno
1,danceability,0.04155586056585597,techno
2,energy,-0.05091789163421697,techno
3,loudness,-0.060974456096287544,techno
4,speechiness,-0.01768818246055115,techno
5,acousticness,-0.04559781632913917,techno
6,instrumentalness,0.05358565296669564,techno
7,liveness,-0.02170960400701062,techno
8,valence,-0.08321050476816998,techno
9,tempo,-0.0305829675922073,techno
0,duration_ms,0.007921407573351448,r-n-b
1,danceability,0.1405400594874127,r-n-b
2,energy,-0.043823578309803816,r-n-b
3,loudness,-0.09753352175010085,r-n-b
4,speechiness,0.18278753836106326,r-n-b
5,acousticness,-0.09192423916930786,r-n-b
6,instrumentalness,-0.13018941165194375,r-n-b
7,liveness,-0.038955964920906506,r-n-b
8,valence,-0.023433200094676806,r-n-b
9,tempo,-0.0005368996923724687,r-n-b
0,duration_ms,0.01911092347959434,metal
1,danceability,0.011453811217336256,metal
2,energy,-0.004015004740615305,metal
3,loudness,0.17970426035835368,metal
4,speechiness,-0.03914450135128232,metal
5,acousticness,-0.006888484020105321,metal
6,instrumentalness,-0.1318092638054606,metal
7,liveness,-0.13846782659588627,metal
8,valence,0.01741571227453503,metal
9,tempo,-0.05810937253809823,metal
0,duration_ms,-0.05218830769628921,house
1,danceability,-0.034564613547792625,house
2,energy,-0.11196895088969411,house
3,loudness,-0.011088553504175766,house
4,speechiness,-0.02056947833361705,house
5,acousticness,0.01882614535361581,house
6,instrumentalness,-0.046871412596273004,house
7,liveness,-0.03181038950431838,house
8,valence,-0.03864192178488836,house
9,tempo,0.1109910706640931,house
0,duration_ms,0.01739492567165955,sleep
1,danceability,-0.3466611870127011,sleep
