artists,danceability,energy,valence,acousticness,speechiness
((( O ))),0.41,0.169,0.208,0.847,0.0485
(G)I-DLE,0.62475,0.81725,0.43625,0.027444999999999997,0.072775
-M-,0.736,0.667,0.4,0.43,0.0307
070 Shake,0.584,0.718,0.155,0.0205,0.126
10cc,0.6205,0.4515,0.528,0.613,0.06075
11:11 Music Group,0.751,0.354,0.781,0.885,0.446
2 Brothers On The 4th Floor,0.702,0.953,0.507,0.0113,0.0473
21 Savage,0.749,0.6283333333333333,0.5166666666666667,0.167749,0.13163333333333332
220 KID,0.715,0.778,0.756,0.0152,0.0365
24hrs,0.536,0.879,0.334,0.0742,0.0621
24kGoldn,0.7473333333333333,0.7363333333333334,0.7833333333333333,0.27166666666666667,0.0815
2Pac,0.8111666666666667,0.76675,0.7024166666666667,0.08333,0.19636666666666666
3 Doors Down,0.551,0.574,0.308,0.0203,0.0263
347aidan,0.85,0.424,0.539,0.7955,0.216425
3OH!3,0.607,0.805,0.232,0.00175,0.0608
44phantom,0.667,0.716,0.412,0.238,0.0564
5 Seconds of Summer,0.5529999999999999,0.85,0.3135,0.013499999999999998,0.25455
50 Cent,0.899,0.713,0.777,0.255,0.366
6LACK,0.907,0.393,0.202,0.451,0.0539
6ix9ine,0.73475,0.65425,0.47700000000000004,0.1703375,0.23854999999999998
80purppp,0.7885,0.4405,0.473,0.8069999999999999,0.199
88GLAM,0.764,0.672,0.594,0.0166,0.0655
8percent,0.795,0.385,0.55,0.851,0.329
A Boogie Wit da Hoodie,0.6075,0.7,0.6120000000000001,0.16720000000000002,0.16925
A Day To Remember,0.526,0.83325,0.5945,0.02814625,0.07385
A Great Big World,0.407,0.147,0.0765,0.857,0.0355
A Tribe Called Quest,0.8649999999999999,0.5203333333333333,0.7946666666666666,0.13573333333333334,0.24666666666666667
A$AP Rocky,0.65425,0.65425,0.364,0.1002,0.150525
A. R. Reihana,0.687,0.635,0.5635,0.1195,0.1355
A.R. Rahman,0.6497586206896552,0.5633448275862069,0.49448275862068963,0.484051724137931,0.0861551724137931
A1 x J1,0.72225,0.50925,0.821,0.154475,0.197325
A7S,0.7326666666666667,0.711,0.586,0.07836666666666667,0.06663333333333334
ABBA,0.5996666666666667,0.6457777777777778,0.6845555555555555,0.4126666666666667,0.03256666666666667
AC/DC,0.4936875,0.8472500000000001,0.5240625,0.0431730625,0.097075
AFI,0.308,0.873,0.686,0.00022,0.0533
AILEE,0.497,0.431,0.167,0.66,0.0287
AJ Mitchell,0.6933333333333334,0.45799999999999996,0.565,0.2661,0.0484
AJR,0.5382,0.6428,0.6688,0.10003599999999999,0.07682
AKASA,0.791,0.348,0.49,0.594,0.0434
AKLO,0.648,0.904,0.728,0.0961,0.0786
ALI,0.648,0.904,0.728,0.0961,0.0786
ALMA,0.775,0.723,0.604,0.17,0.0486
AMARIA BB,0.733,0.479,0.485,0.575,0.301
AP Dhillon,0.7962222222222223,0.5731111111111111,0.4109055555555556,0.1409388888888889,0.09689444444444445
AR Paisley,0.806,0.6475,0.392,0.08605,0.14665
AR/CO,0.815,0.71,0.572,0.129,0.0469
